,Title,Sub_Title,News_Link
39,NEW DAWN,EFL set for streaming revolution with more games and end of Sky Sports monopoly,https://www.thesun.co.uk/sport/21356050/efl-streaming-viaplay-sky-sports-coverage/
40,SOU KIDDING?,Chelsea post 'tweet of the year' after being denied penalty against West Ham,https://www.thesun.co.uk/sport/21353380/chelsea-penalty-west-ham-handball-gallagher-soucek/
41,'INFURIATING',Neymar enrages neighbours as wild house parties force Mayor to intervene,https://www.thesun.co.uk/sport/21356670/neymar-paris-house-parties-mayor/
42,NOTT THE PLAN,Forest star looking for MLS move after six-month block on playing in England,https://www.thesun.co.uk/sport/21356166/nottingham-forest-mls-move-england/
43,GUNN-A GET YA,Rangers eye Gunn as new No1 after Norwich axe with Scotland switch in frame,https://www.thesun.co.uk/sport/21355947/rangers-angus-gunn-transfer-norwich-scotland/
44,FAT CHANCE,Arsenal join transfer race for Fati with Man Utd 'informed' on Barcelona status,https://www.thesun.co.uk/sport/21339600/arsenal-fati-transfer-man-utd-liverpool/
45,TENSION MOUNT-ING,Chelsea bosses 'resigned to Mount refusing contract' in Liverpool boost,https://www.thesun.co.uk/sport/21353217/chelsea-mason-mount-new-contract-liverpool-transfer/
46,NEW SUITORS,Arsenal join Marcus Thuram transfer hunt as Newcastle circle for winger,https://www.thesun.co.uk/sport/21355503/arsenal-marcus-thuram-transfer-newcastle/
47,RED DEVILS LIVE,"Mason Greenwood EXCLUSIVE, Ansu Fati BLOW, Ronaldo hits FOUR for Al-Nassr",https://www.thesun.co.uk/sport/21284701/man-utd-news-live-mason-greenwood-exclusive-ansu-fati-cristiano-ronaldo/
48,GUNNERS LIVE,"Arsenal could be penalised for Brentford brawl, Vitor Roque latest",https://www.thesun.co.uk/sport/21158908/arsenal-transfer-news-live-vitor-roque-edu-odegaard-arteta-brentford/
49,FIRST DYBS,Man Utd target Dybala ‘available for just £10.7m this summer’ with shock clause,https://www.thesun.co.uk/sport/21338838/man-utd-transfer-paulo-dybala-roma-shock-release-clause/
50,'INCREDIBLE',Fans drooling over Grimsby Town's mouthwatering brisket sandwich and waffles,https://www.thesun.co.uk/sport/21351739/footy-scran-grimsby/
51,TRAGIC TWIST,Atsu’s children heard he was missing on radio after first being told he's safe,https://www.thesun.co.uk/sport/21348066/christian-atsus-kids-radio-missing/
52,ADDICKS SHAME,Referee hit in the face by bottle thrown from stands during Charlton defeat,https://www.thesun.co.uk/sport/21355819/referee-bottle-thrown-charlton-fleetwood/
53,COOK IT TOO FAR,Stevenage fan runs on pitch to confront Bradford's Cook as match is delayed,https://www.thesun.co.uk/sport/21354885/stevenage-fan-bradford-andy-cook-league-two/
